timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743258035.669751|3461344040|573749|b'\x04j\x87\xc2\x8d\x07\x99y\x06\xa2/U\x0e2\xd3\x06'|b'^e\xc3\xe1/\xe8\x0e\xe5\xce\xda\x19w'|1510|42|1468|52|1386|1438|0|90|1438
1743258035.669772|3461344040|573750|b'\xac\xa4\xd3\x83\x1fM<\xed]HG\xad<Q\xcbd'|b'\x9a\x88\xe5c\x96!p\x19\xc6\xca(h'|1510|42|1468|52|1386|1438|0|91|1438
1743258035.669790|3461344040|573751|b'(\x008Ht\n\x83\xc4C\xc9*\x0b\x93\xf8`\x9c'|b'\xf9\x84\xa7\xd8\xe6\xb6\x1b\x9a}\xcaS\xea'|1510|42|1468|52|1386|1438|0|92|1438
1743258035.669835|3461344040|573752|b'>\xdd5&\x11\xf69\x94\x81\xef(\xe0>=tV'|b'y:\n\xb4\xe4\xc5\xc8\x1f\xd7\x87\x94\xfe'|1510|42|1468|52|1386|1438|0|93|1438
1743258035.669857|3461344040|573753|b'\xdf\x02VV]\xb6x%\xba\xc9_w*Ag\xaa'|b'7\xf6Q\x1dc\xf0G\t\xe5<WE'|1510|42|1468|52|1386|1438|0|94|1438
1743258035.669877|3461344040|573754|b'\xa5\xf2o\x99\xc2C\xb8\x07\xf3.L\x81\xc6\x14\x02\x8f'|b'\xafv\x0e\x9c%}\xbc\xa4\x7f\x9f\x9b\x8c'|1510|42|1468|52|1386|1438|0|95|1438
1743258035.669893|3461344040|573755|b'\xe0\ngh\x1aZ\xbe,\x81\xef\x8a6\xf8@>>'|"b""\xfe'\xd2H\xf5Yw\n6\xec\xd7\xd4"""|1510|42|1468|52|1386|1438|0|96|1438
1743258035.669905|3224334942|837791|b'G\\\xd2\xeb\x96\xf20\x1d\x98\xe3\xf8\xb8 e\x89a'|b'\x90\r.\x92\xbe\r\xf3^\xdchAR'|134|42|92|52|0|52|10|97|52
1743258035.670139|3224334942|837792|b'\x83_\x91\xbb&\x1c\x93\xcb\xaf\xfe\xcc\x1d#\x81\x8a\x9e'|"b""\xb0\x86\xc0\x13)\xe5\xf0\xad\xa4'!\x1e"""|134|42|92|52|0|52|10|98|52
1743258035.670355|3461344040|573756|b'\xad\xe2\xe1s\xbb\xde\x86\x04<{\x91\x99tv\xe5\n'|b'S\xbb\xcb\xd5S.5\xe7\xe4\xb3\x84\xab'|1510|42|1468|52|1386|1438|0|99|1438
1743258035.670415|3461344040|573757|b'\x06\xc1\x8dG\x03-\x1cL\xe5\xc6\xa2\xdeQ\x8c\x06O'|b'\x97A&so\xbfO\x19 A\xb1I'|1510|42|1468|52|1386|1438|0|100|1438
1743258035.670461|3461344040|573758|b'p\xa70k\x93\xb3;s\x0e,\x1cN\xf7c\xa9\x02'|b'\x9c\xee\xaa\x9e\x97\xa0\x97\x08G\x85\xfa\xb3'|1510|42|1468|52|1386|1438|0|101|1438
1743258035.670510|3461344040|573759|b'I\xffS\x01\x00\xed\xac\xc22\xf8\xf5x#\xdbp}'|b'\x94\x80\xb0\x80Q\xe8\x86\xd1\x99T{\x99'|1510|42|1468|52|1386|1438|0|102|1438
