timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743252033.355564|3224334942|411580|b'd@(\xc7\x9e\x80\x89*\xe7\xb47L\xa2\xdf\x89*'|b'X\x05\x88\x00\xbe\xa3u\xa5\xecB\xa5\x18'|150|42|108|64|0|64|14|98|64
1743252033.355564|3224334942|411581|b'!DA=%\xd5?l\t,W\xe3U}+&'|b's\x02<p*+\x19\xcet6s\x04'|134|42|92|52|0|52|10|99|52
1743252033.355671|3461344040|202259|b'\x1ej\x82>\x9c\xf8~\x90\x8d\xbc\x16\xa6M>\xa1\xe5'|b'\xe2\xaf\xaf\x14K\x1e\xb3/*T\x8c\x08'|134|42|92|52|0|52|10|100|52
1743252033.355694|3224334942|411585|b'I\xbdA\xd2\xb4\xf8\xc6\x19{\xb8P\xac\xc4\x15\x9c$'|b'\x1a\xb0NA\x12b\x18Y\xd6K\xb4\xbd'|1398|42|1356|52|1261|1313|13|101|1313
1743252033.355731|3461344040|202260|b'\xd5^\xa0.\xfaY\x90\xf2Z1l\xae\xb2i\xd6\xdc'|b'\xf5\xe1\xd2jt\xab\xd5\x1ar>\xd2\r'|134|42|92|52|0|52|10|102|52
1743252033.355743|3461344040|202261|"b'\xdfcz\x95\x89\xcc0\xe4|\x99\x97[wgH\xfc'"|b'\xba\xb4\x8aU\xc2\xc4Ztac\xd4\x9f'|134|42|92|52|0|52|10|103|52
1743252033.361510|3461344040|202262|b'\xf2\xafFd\x8b\x9bt\xe2!A\n\x17\xd5\\\x05\x99'|b'dx\x18\xaf\xa1^l\xb8\xcd\xb9\xa0p'|198|42|156|52|64|116|10|104|116
1743252033.361799|3461344040|202263|b'\x88hmE\x00\xa2\xf1B\x88\x12\xbd\xb8eh\xd8\x05'|"b'\xf4\xc1<4\x80\xafy|\xfc41\xd9'"|230|42|188|52|92|144|14|105|144
1743252033.362104|3461344040|202264|b'\x88\xe6m\xaf*mt1N\tY\x98cP\xcf\x9d'|b'\x06;\x8eo\xb4\x13z\xcc\x1ayVG'|614|42|572|52|486|538|4|106|538
1743252033.372309|3224334942|411586|b'\\\x1e\xa2\xe48\xee{?\xb4\xa29\x86\x99\xfb0\x1b'|b'\xd1\x8d\xa7M%y\xae\\\xbc\x81\xdbM'|134|42|92|52|0|52|10|107|52
1743252033.372442|3461344040|202265|"b'|K\x87\x9aLW\xed\t\x1b\xa7\xaaE\x0f\xe4<\x03'"|b'\xbfZ\xbe\x17ys\xe8\xa4.\xde\x1e\xf2'|134|42|92|52|0|52|10|108|52
1743252033.372526|3461344040|202266|b'q\x13\x03wv\x08k\xf4\xceM\x8c\xf8\x1b\xeb1\t'|b'\xc93X\x843\xf3\x89\xa3*\xe6t\x11'|134|42|92|52|0|52|10|109|52
1743252033.372539|3461344040|202267|b'B\xed\x15\xa5\x18d<\xd3^xS\xbf\xddk\x87/'|b'_\x94\x9e\x81\x1f\x11\xfc\xa8\x06\xf5\x8c\xbe'|134|42|92|52|0|52|10|110|52
